Año,Trimestre,Provincia,Accesos telefonía fija (total)
2014,4,Santa Fe,770455
2014,4,Santiago del Estero,70523
2014,4,Tierra del Fuego,32912
2014,4,Tucumán,212990
2014,3,Buenos Aires,4405762
2014,3,Capital Federal,1607082
2014,3,Catamarca,39453
2014,3,Chaco,105864
2014,3,Chubut,98074
2014,3,Córdoba,733130
2014,3,Corrientes,105505
2014,3,Entre Ríos,230563
2014,3,Formosa,42310
2014,3,Jujuy,56366
2014,3,La Pampa,72155
2014,3,La Rioja,39373
2014,3,Mendoza,320228
2014,3,Misiones,111998
2014,3,Neuquén,92775
2014,3,Río Negro,121350
2014,3,Salta,141312
2014,3,San Juan,93056
2014,3,San Luis,50779
2014,3,Santa Cruz,41015
2014,3,Santa Fe,772744
2014,3,Santiago del Estero,70719
2014,3,Tierra del Fuego,32698
2014,3,Tucumán,212958
2014,2,Buenos Aires,4379382
2014,2,Capital Federal,1602485
2014,2,Catamarca,39351
2014,2,Chaco,102310
2014,2,Chubut,97603
2014,2,Córdoba,737107
2014,2,Corrientes,102628
2014,2,Entre Ríos,223774
2014,2,Formosa,42246
2014,2,Jujuy,56187
2014,2,La Pampa,72837
2014,2,La Rioja,39474
2014,2,Mendoza,320351
2014,2,Misiones,110906
2014,2,Neuquén,92792
2014,2,Río Negro,121250
2014,2,Salta,141122
2014,2,San Juan,92439
2014,2,San Luis,51093
2014,2,Santa Cruz,40728
2014,2,Santa Fe,767767
2014,2,Santiago del Estero,70616
2014,2,Tierra del Fuego,32631
2014,2,Tucumán,211913
2014,1,Buenos Aires,4385408
2014,1,Capital Federal,1604914
2014,1,Catamarca,39318
2014,1,Chaco,102435
2014,1,Chubut,97607
2014,1,Córdoba,741515
2014,1,Corrientes,102607
2014,1,Entre Ríos,223508
2014,1,Formosa,42201
2014,1,Jujuy,55953
2014,1,La Pampa,72038
2014,1,La Rioja,39625
2014,1,Mendoza,320413
2014,1,Misiones,111018
2014,1,Neuquén,92732
2014,1,Río Negro,121289
2014,1,Salta,140841
2014,1,San Juan,92461
2014,1,San Luis,51097
2014,1,Santa Cruz,40625
2014,1,Santa Fe,770361
2014,1,Santiago del Estero,70717
2014,1,Tierra del Fuego,32631
2014,1,Tucumán,210917
